band	Species	sex	Time period	year	Early v Late	weight	wing	tarsus	bill length	bill depth	bill width	PC1 body	PC1 beak	PC2 beak
5560	fortis	male	2	1989	Early	19.4	69	18.7	11.3	9.6	8.8	0.438743475	0.669979135	-0.50608091
5578	fortis	male	2	1989	Early	12.43	66	18.97	9.8	7.65	7.07	-1.562465491	-2.87137746	0.297316278
5669	fortis	male	2	1989	Early	16.3	69	19	10.4	8.9	8.2	-0.11964901	-0.68538533	-0.426520229
5821	fortis	female	2	1989	Early	18.03	68.25	18.8	12.32	10.62	9.5	0.040928295	2.395556128	-0.697279258
10023	fortis	female	2	1989	Early	16.1	66	18.5	11	9.2	8.5	-0.960689331	-0.002135594	-0.363761805
10703	fortis	male	2	1989	Early	17.1	67	19.8	10.4	8.9	8.4	0.119520026	-0.495476928	-0.523859709
13365	fortis	female	2	1989	Early	17.4	67	19.1	11.3	9.1	8.9	-0.172846663	0.388816218	-0.353363236
13413	fortis	male	2	1989	Early	18.3	67	20.7	11.3	10.1	9.1	0.860275184	1.330958855	-0.853477545
13582	fortis	female	2	1989	Early	14.4	66	17.1	10.2	8.9	8.5	-2.074626996	-0.458095014	-0.682396147
13644	fortis	male	2	1989	Early	16.6	66	18.6	10.5	9.5	8.8	-0.794017302	0.364466561	-0.905270218
13807	fortis	female	2	1989	Early	17.7	68	18.4	11.4	9.7	9.2	-0.286251864	1.153805507	-0.686104005
13901	fortis	male	2	1989	Early	14.1	68	18	9.2	7.9	7.9	-1.321082094	-2.067915894	-0.536936366
14062	fortis	female	2	1989	Early	17	65	18.2	10.7	9.2	8.1	-1.087453738	-0.46831083	-0.333882891
14492	fortis	male	2	1989	Early	16.3	67	18.5	11.2	9.6	8.8	-0.73571008	0.641192991	-0.561014259
14615	fortis	male	2	1989	Early	16.6	69	18.7	10.7	9.6	9.2	-0.205505222	0.877079077	-1.030359964
14617	fortis	female	2	1989	Early	14.33	66.34	17	11.14	9.72	8.98	-2.081513927	0.885106975	-0.72991278
14620	fortis	male	2	1989	Early	16.8	66	19.6	10.7	9.85	9.05	-0.231723345	0.922706334	-1.058049061
14625	fortis	male	2	1989	Early	15.33	66.34	18.8	11.84	10.52	9.58	-0.922127959	2.258122576	-0.959617642
14634	fortis	male	2	1989	Early	14.2	67	20.1	10.5	8.1	7.9	-0.392854694	-1.543249178	0.096642204
14651	fortis	male	2	1989	Early	17.33	68.34	20	11.84	10.52	9.58	0.515504086	2.258122576	-0.959617642
14652	fortis	female	2	1989	Early	18	65	19	10.9	9.2	8.4	-0.444343964	-0.125875939	-0.370025413
14660	fortis	male	2	1989	Early	16.53	68.34	18.6	11.14	9.92	9.28	-0.39135364	1.320416425	-0.956476966
14670	fortis	female	2	1989	Early	15.73	66.34	20.2	12.44	9.72	8.88	-0.107305762	1.164372642	0.032890495
14672	fortis	male	2	1989	Early	16.53	69.34	19.7	10.54	9.12	8.58	0.355511659	-0.118767233	-0.623169015
14674	fortis	female	2	1989	Early	14.2	65	18.2	10.5	9.8	8.5	-1.731702434	0.305274228	-0.880093446
14675	fortis	female	2	1989	Early	16.6	65	18.3	11.2	9.5	8.4	-1.127861647	0.186152763	-0.326057816
14678	fortis	female	2	1989	Early	18.9	69	19.6	11.5	9.6	9	0.788347638	0.917459824	-0.493553693
14684	fortis	female	2	1989	Early	17.5	66.5	18.5	10.7	8.9	8.55	-0.54908424	-0.266687195	-0.432064273
14692	fortis	female	2	1989	Early	16.5	65.5	19.7	11.25	9.15	8.55	-0.338603115	0.079695154	-0.230624561
14710	fortis	male	2	1989	Early	16.5	66.5	20.45	11.65	9.65	9.15	0.227565516	1.140682054	-0.504297021
14712	fortis	female	2	1989	Early	14.73	67.34	19.3	11.04	9.02	8.98	-0.623081668	0.329756867	-0.502903749
14723	fortis	male	2	1989	Early	17.4	68	20	12	9.1	8.6	0.470763398	0.305456621	0.177179427
